MONTH,DAY,Storm_Event
September,26,1
August,6,1
August,17,1
April,15,1
January,8,1
January,19,1
January,29,1
October,16,1
January,24,1
January,30,1
January,25,1
January,1,1
August,16,1
March,3,1
February,12,1
February,24,1
January,20,1
January,9,1
January,10,1
January,28,1
January,21,1
August,8,1
February,8,1
July,20,1
October,19,1
February,13,1
June,20,1
May,25,1
July,19,1
October,31,1
June,1,1
February,1,1
July,4,1
June,21,1
June,29,1
July,11,1
February,25,1
February,27,1
July,17,1
February,26,1
March,10,1
March,22,1
March,15,1
August,18,1
July,22,1
August,21,1
July,1,1
April,14,1
April,3,1
July,18,1
July,28,1
April,23,1
March,5,1
July,30,1
July,31,1
March,6,1
March,2,1
March,4,1
April,1,1
April,20,1
March,31,1
April,9,1
July,5,1
May,19,1
July,23,1
July,21,1
May,23,1
April,21,1
July,27,1
July,29,1
May,26,1
July,6,1
July,16,1
May,28,1
May,30,1
May,29,1
February,9,1
February,4,1
August,7,1
August,3,1
June,26,1
June,30,1
June,19,1
June,2,1
June,27,1
August,19,1
August,22,1
August,1,1
August,9,1
September,13,1
October,1,1
September,14,1
October,17,1
October,10,1
October,27,1
October,11,1
October,12,1
October,29,1
September,23,1
May,17,1
August,15,1
December,30,1
May,10,1
September,2,1
September,4,1
December,17,1
December,16,1
December,19,1
May,20,1
December,1,1
December,29,1
December,31,1
December,14,1
December,15,1
December,18,1
November,11,1
November,12,1
November,27,1
November,1,1
November,2,1
November,23,1
November,18,1
November,24,1
November,21,1
October,4,1
